test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
133;13.052;0.6489900000000013;4147.45605;4125.78875;0.008210225034246588;0.1914943527397264
134;13.152;0.6544900000000027;4139.41895;4127.91375;0.00838206407534248;0.19638647602739767
135;13.252;0.6592900000000022;4157.61523;4130.03875;0.00855390311643837;0.20127859931506886
136;13.352;0.6644400000000026;4134.8418;4133.860049382716;0.008642116543209876;0.20616127654320998
137;13.452;0.6691000000000003;4157.80322;4138.516839506173;0.008689141234567899;0.21103930123456766
138;13.552;0.6744800000000026;4139.11523;4143.173629629629;0.00873616592592592;0.2159173259259253
139;13.652;0.6795100000000005;4139.78174;4147.830419753086;0.00878319061728394;0.22079535061728306
140;13.752;0.6843200000000031;4145.39355;4148.847521367522;0.008832602632478622;0.22569007350427256
141;13.852;0.6892100000000028;4161.22852;4147.633846153846;0.008883477846153837;0.23059503076922996
142;13.952;0.6943200000000012;4147.62451;4146.420170940171;0.008934353059829052;0.23549998803418737
143;14.052;0.6995400000000025;4157.38525;4145.206495726496;0.008985228273504267;0.2404049452991448
144;14.152;0.7042300000000026;4152.29395;4143.992820512821;0.009036103487179484;0.2453099025641023
145;14.252;0.7092600000000004;4164.6792;4142.779145299145;0.0090869787008547;0.2502148598290597
146;14.352;0.7143100000000011;4145.2793;4140.294092592592;0.009113934555555554;0.25521980740740713
147;14.452;0.7196600000000011;4151.43799;4137.429277777778;0.009133745666666665;0.26025462222222173
148;14.552;0.7240900000000003;4153.65088;4134.564462962963;0.009153556777777775;0.26528943703703634
149;14.652;0.7294000000000018;4146.64551;4131.699648148148;0.009173367888888884;0.27032425185185105
150;14.752;0.7341200000000008;4148.96143;4128.834833333333;0.009193178999999996;0.27535906666666565
151;14.852;0.7395800000000001;4145.53369;4127.315247863247;0.00920785976068376;0.2797244871794865
152;14.952;0.7440500000000014;4141.05762;4128.086188034188;0.009213805059829059;0.2829501282051276
153;15.052;0.7494600000000027;4148.30176;4128.857128205128;0.009219750358974358;0.28617576923076876
154;15.152;0.7542600000000022;4137.91748;4129.628068376068;0.009225695658119658;0.2894014102564099
155;15.252;0.759520000000002;4147.46143;4130.399008547009;0.009231640957264958;0.2926270512820511
156;15.352;0.7641200000000019;4139.5293;4131.1699487179485;0.009237586256410257;0.29585269230769223
157;15.452;0.7694700000000019;4149.87256;4130.562592592592;0.009237300740740742;0.29746340000000004
158;15.552;0.7743400000000022;4147.71191;4128.682962962963;0.009231263703703705;0.2975834
159;15.652;0.7794700000000034;4139.37061;4126.803333333333;0.009225226666666668;0.2977034
160;15.752;0.7841300000000011;4150.56982;4124.923703703705;0.00921918962962963;0.2978234
161;15.852;0.7893900000000009;4140.43018;4123.044074074075;0.009213152592592594;0.29794339999999997
162;15.952;0.7945300000000017;4125.20752;4121.5850769230765;0.009208672410256408;0.29806789230769226
163;16.052;0.7992800000000031;4129.0293;4123.2107179487175;0.009215609162393161;0.2982253282051282
164;16.152;0.8043300000000002;4124.59277;4124.8363589743585;0.009222545914529914;0.2983827641025641
165;16.252;0.8093200000000031;4123.25488;4126.4619999999995;0.009229482666666665;0.2985402
166;16.352;0.8145900000000026;4124.81006;4128.087641025641;0.009236419418803418;0.2986976358974359
167;16.452;0.8192000000000021;4125.80713;4129.713282051282;0.009243356170940171;0.2988550717948718
168;16.552;0.8243300000000033;4136.25293;4130.65;0.0092495625;0.29896870000000003
169;16.652;0.829150000000002;4147.73779;4129.7240740740735;0.009253793981481481;0.2989638851851852
170;16.752;0.8345500000000001;4134.02539;4128.798148148147;0.009258025462962963;0.2989590703703704
171;16.852;0.8391200000000012;4141.31787;4127.872222222222;0.009262256944444444;0.29895425555555555
172;16.952;0.8444500000000019;4135.35645;4126.946296296296;0.009266488425925925;0.29894944074074076
173;17.052;0.8491500000000016;4133.4668;4126.02037037037;0.009270719907407406;0.2989446259259259
174;17.152;0.8546300000000002;4133.18994;4125.589709897611;0.009268480358361775;0.29891935494880545
175;17.252;0.8590900000000019;4152.67578;4125.233054607508;0.009265273873720137;0.2988910273037543
176;17.352;0.8645100000000028;4149.35889;4124.876399317406;0.0092620673890785;0.29886269965870305
177;17.452;0.8691800000000001;4143.625;4124.519744027304;0.009258860904436861;0.29883437201365187
178;17.552;0.8744800000000019;4135.73486;4124.163088737202;0.009255654419795223;0.2988060443686007
179;17.652;0.87913;4140.5415;4123.8703643724675;0.009252511700404857;0.2987790546558704
180;17.752;0.8845000000000027;4138.73291;4129.9068016194315;0.009255681740890687;0.29888452024291495
181;17.852;0.8893700000000031;4146.84375;4135.943238866395;0.009258851781376518;0.29898998582995945
182;17.952;0.8944200000000002;4146.68164;4141.979676113359;0.009262021821862348;0.299095451417004
183;18.052;0.8992600000000017;4160.26514;4148.016113360323;0.009265191862348178;0.29920091700404855
184;18.152;0.9044700000000034;4153.35645;4153.337425925926;0.009315747259259195;0.2995286259259256
185;18.252;0.9095000000000013;4170.91748;4149.1577962962965;0.009995850962962882;0.3028089962962959
186;18.352;0.9142200000000003;4172.58398;4144.978166666668;0.010675954666666569;0.3060893666666662
187;18.452;0.919240000000002;4182.49316;4140.798537037038;0.011356058370370233;0.30936973703703635
188;18.552;0.9242600000000003;4156.73242;4136.618907407409;0.01203616207407392;0.3126501074074067
189;18.652;0.9295800000000014;4129.08105;4132.439277777779;0.012716265777777583;0.31593047777777683
190;18.752;0.9341300000000032;4141.14746;4132.776803418803;0.013125150427350355;0.3197922974358963
191;18.852;0.9394200000000019;4141.27881;4135.339196581196;0.013400449572649515;0.3239405025641017
192;18.952;0.9442100000000018;4143.30127;4137.901589743589;0.013675748717948664;0.32808870769230686
193;19.052;0.9495600000000017;4154.94385;4140.463982905982;0.013951047863247823;0.3322369128205122
194;19.152;0.9540500000000023;4158.87891;4143.026376068376;0.014226347008546972;0.3363851179487174
195;19.252;0.9594500000000004;4163.90576;4145.588769230769;0.01450164615384613;0.3405333230769227
196;19.352;0.9641400000000004;4157.42725;4144.340277264326;0.01455103327171904;0.34170561182994447
197;19.452;0.9695300000000024;4150.64893;4142.255249537893;0.014550829944547134;0.34222465064695
198;19.552;0.9740000000000002;4164.31299;4140.170221811461;0.014550626617375231;0.3427436894639556
199;19.652;0.9795700000000025;4164.19287;4138.085194085028;0.014550423290203326;0.34326272828096116
200;19.752;0.9842600000000026;4168.85156;4136.000166358595;0.014550219963031423;0.3437817670979667
201;19.852;0.9895000000000032;4148.75342;4135.0392764378485;0.014546273840445269;0.3440277551020408
202;19.952;0.9941600000000008;4147.98975;4135.696048237477;0.014536941743970315;0.3438808163265306
203;20.052;0.9995000000000012;4142.39258;4136.3528200371065;0.014527609647495362;0.3437338775510204
204;20.152;1.0043900000000008;4144.23145;4137.009591836735;0.014518277551020408;0.3435869387755102
